Id;Label
LEEDS  BETTY BRANT;LEEDS  BETTY BRANT
CALDRONE  JAVIER;CALDRONE  JAVIER
URICH  BEN;URICH  BEN
THOMPSON  EUGENE FLA;THOMPSON  EUGENE FLA
THORSON  DR. WALTER;THORSON  DR. WALTER
ICEMAN / ROBERT BOBBY;ICEMAN / ROBERT BOBBY
WATSON-PARKER  MARY;WATSON-PARKER  MARY
LUMLEY  JUDY;LUMLEY  JUDY
OVERRIDE / DR. GREGORY;OVERRIDE / DR. GREGORY
JAMESON  J. JONAH;JAMESON  J. JONAH
KWAN  TERRY;KWAN  TERRY
SPIDER-MAN / PETER PARKER;SPIDER-MAN / PETER PARKER
DOLMAN;DOLMAN
MAXWELL  MORRIS;MAXWELL  MORRIS
PARKER  MAY;PARKER  MAY
ROBERTSON  RANDY;ROBERTSON  RANDY
HUMAN TORCH / JOHNNY S;HUMAN TORCH / JOHNNY S
GRANT  GLORIA GLORY;GRANT  GLORIA GLORY
MCCORMICK  BARRY;MCCORMICK  BARRY
TOKKOTS;TOKKOTS
THOR / DR. DONALD BLAK;THOR / DR. DONALD BLAK
FAIRMONT  HANNAH;FAIRMONT  HANNAH
PARKER  BEN;PARKER  BEN
SPIDER-MAN III / MARTH;SPIDER-MAN III / MARTH
RANGER I;RANGER I
WARD  SEN. STEWART;WARD  SEN. STEWART
STACY  JILL;STACY  JILL
ROBERTSON  JOE;ROBERTSON  JOE
BLADE;BLADE
KINGPIN / WILSON FISK;KINGPIN / WILSON FISK
FORTUNATO  GIACOMO J;FORTUNATO  GIACOMO J
HUNGER;HUNGER
BULLSEYE II / BENJAMIN;BULLSEYE II / BENJAMIN
DR. OCTOPUS / OTTO OCT;DR. OCTOPUS / OTTO OCT
STACY  ARTHUR;STACY  ARTHUR
SPIDER-WOMAN IV / CHAR;SPIDER-WOMAN IV / CHAR
BLACK CAT / FELICIA HA;BLACK CAT / FELICIA HA
BLASTAAR;BLASTAAR
STILT-MAN / WILBUR DAY;STILT-MAN / WILBUR DAY
FANDRAL [ASGARDIAN];FANDRAL [ASGARDIAN]
VOLSTAGG;VOLSTAGG
HOGUN [ASGARDIAN];HOGUN [ASGARDIAN]
ODIN [ASGARDIAN];ODIN [ASGARDIAN]
WOLVERINE / LOGAN;WOLVERINE / LOGAN
NIGHTCRAWLER / KURT WA;NIGHTCRAWLER / KURT WA
COLOSSUS II / PETER RA;COLOSSUS II / PETER RA
CALLISTO;CALLISTO
STORM / ORORO MUNROE S;STORM / ORORO MUNROE S
MARROW / SARAH;MARROW / SARAH
ROGUE ;ROGUE 
SIF;SIF
ANALYZER;ANALYZER
HEIMDALL [ASGARDIAN];HEIMDALL [ASGARDIAN]
LOKI [ASGARDIAN];LOKI [ASGARDIAN]
BALDER [ASGARDIAN];BALDER [ASGARDIAN]
KARNILLA [ASGARDIAN];KARNILLA [ASGARDIAN]
WATSON  ANNA;WATSON  ANNA
DESTROYER III;DESTROYER III
PARKER  HORACE;PARKER  HORACE
TINKER  SHEA;TINKER  SHEA
GAUNT / MENDEL STROMM;GAUNT / MENDEL STROMM
SMITH  DAPHNE;SMITH  DAPHNE
AMORA / HE;AMORA / HE
EXECUTIONER II / SKURG;EXECUTIONER II / SKURG
SANDMAN / WILLIAM BAKE;SANDMAN / WILLIAM BAKE
OSBORN  NORMIE;OSBORN  NORMIE
