Source;Target;Weight;Type
TONY STARK / IRON MAN;LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;2;Undirected
TONY STARK / IRON MAN;OBADIAH STANE / IRON MONGER;1;Undirected
TONY STARK / IRON MAN;VIRGINIA ""PEPPER"" POTTS;4;Undirected
TONY STARK / IRON MAN;YINSEN;1;Undirected
TONY STARK / IRON MAN;RAZA;1;Undirected
TONY STARK / IRON MAN;J.A.R.V.I.S. (VOICE);3;Undirected
TONY STARK / IRON MAN;CHRISTINE EVERHART;2;Undirected
TONY STARK / IRON MAN;AGENT PHIL COULSON;3;Undirected
TONY STARK / IRON MAN;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
TONY STARK / IRON MAN;HAPPY HOGAN;3;Undirected
TONY STARK / IRON MAN;DIRECTOR NICK FURY;3;Undirected
TONY STARK / IRON MAN;STAN LEE;1;Undirected
TONY STARK / IRON MAN;GUARD;2;Undirected
TONY STARK / IRON MAN;JIM CRAMER;1;Undirected
TONY STARK / IRON MAN;ABU BAKAAR;1;Undirected
TONY STARK / IRON MAN;GENERAL GABRIEL;1;Undirected
TONY STARK / IRON MAN;WILLIAM GINTER RIVA;1;Undirected
TONY STARK / IRON MAN;MAJOR ALLEN;2;Undirected
TONY STARK / IRON MAN;JIMMY;1;Undirected
TONY STARK / IRON MAN;PRATT;1;Undirected
TONY STARK / IRON MAN;RAMIREZ;1;Undirected
TONY STARK / IRON MAN;AHMED;1;Undirected
TONY STARK / IRON MAN;OMAR;1;Undirected
TONY STARK / IRON MAN;HOWARD STARK;3;Undirected
TONY STARK / IRON MAN;VIPER 1;1;Undirected
TONY STARK / IRON MAN;VIPER 2;1;Undirected
TONY STARK / IRON MAN;AMIRA AHMED;1;Undirected
TONY STARK / IRON MAN;COLONEL CRAIG;1;Undirected
TONY STARK / IRON MAN;DEALER AT CRAPS TABLE;1;Undirected
TONY STARK / IRON MAN;WOMAN AT CRAPS TABLE;1;Undirected
TONY STARK / IRON MAN;ENGINEER;1;Undirected
TONY STARK / IRON MAN;AIR FORCE OFFICER;1;Undirected
TONY STARK / IRON MAN;WOMAN IN SUV;1;Undirected
TONY STARK / IRON MAN;KID IN SUV;1;Undirected
TONY STARK / IRON MAN;GULMIRA KID;1;Undirected
TONY STARK / IRON MAN;GULMIRA MOM;1;Undirected
TONY STARK / IRON MAN;REPORTER;1;Undirected
TONY STARK / IRON MAN;FLIGHT ATTENDANT;1;Undirected
TONY STARK / IRON MAN;AIR FORCE LIEUTENANT;1;Undirected
TONY STARK / IRON MAN;ZORIANNA KIT;1;Undirected
TONY STARK / IRON MAN;STAN'S GIRL;1;Undirected
TONY STARK / IRON MAN;CAOC ANALYST";1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;OBADIAH STANE / IRON MONGER;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;VIRGINIA ""PEPPER"" POTTS;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;YINSEN;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;RAZA;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;J.A.R.V.I.S. (VOICE);2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;CHRISTINE EVERHART;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AGENT PHIL COULSON;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;HAPPY HOGAN;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;DIRECTOR NICK FURY;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;STAN LEE;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;GUARD;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;JIM CRAMER;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;ABU BAKAAR;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;GENERAL GABRIEL;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;WILLIAM GINTER RIVA;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;MAJOR ALLEN;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;JIMMY;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;PRATT;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;RAMIREZ;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AHMED;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;OMAR;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;HOWARD STARK;2;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;VIPER 1;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;VIPER 2;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AMIRA AHMED;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;COLONEL CRAIG;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;DEALER AT CRAPS TABLE;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;WOMAN AT CRAPS TABLE;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;ENGINEER;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AIR FORCE OFFICER;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;WOMAN IN SUV;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;KID IN SUV;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;GULMIRA KID;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;GULMIRA MOM;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;REPORTER;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;FLIGHT ATTENDANT;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;AIR FORCE LIEUTENANT;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;ZORIANNA KIT;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;STAN'S GIRL;1;Undirected
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;CAOC ANALYST";1;Undirected
OBADIAH STANE / IRON MONGER;VIRGINIA ""PEPPER"" POTTS;1;Undirected
OBADIAH STANE / IRON MONGER;YINSEN;1;Undirected
OBADIAH STANE / IRON MONGER;RAZA;1;Undirected
OBADIAH STANE / IRON MONGER;J.A.R.V.I.S. (VOICE);1;Undirected
OBADIAH STANE / IRON MONGER;CHRISTINE EVERHART;1;Undirected
OBADIAH STANE / IRON MONGER;AGENT PHIL COULSON;1;Undirected
OBADIAH STANE / IRON MONGER;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
OBADIAH STANE / IRON MONGER;HAPPY HOGAN;1;Undirected
OBADIAH STANE / IRON MONGER;DIRECTOR NICK FURY;1;Undirected
OBADIAH STANE / IRON MONGER;STAN LEE;1;Undirected
OBADIAH STANE / IRON MONGER;GUARD;1;Undirected
OBADIAH STANE / IRON MONGER;JIM CRAMER;1;Undirected
OBADIAH STANE / IRON MONGER;ABU BAKAAR;1;Undirected
OBADIAH STANE / IRON MONGER;GENERAL GABRIEL;1;Undirected
OBADIAH STANE / IRON MONGER;WILLIAM GINTER RIVA;1;Undirected
OBADIAH STANE / IRON MONGER;MAJOR ALLEN;1;Undirected
OBADIAH STANE / IRON MONGER;JIMMY;1;Undirected
OBADIAH STANE / IRON MONGER;PRATT;1;Undirected
