Id;Label
TONY STARK / IRON MAN;TONY STARK / IRON MAN
LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE;LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE
OBADIAH STANE / IRON MONGER;OBADIAH STANE / IRON MONGER
VIRGINIA ""PEPPER"" POTTS;VIRGINIA ""PEPPER"" POTTS
YINSEN;YINSEN
RAZA;RAZA
J.A.R.V.I.S. (VOICE);J.A.R.V.I.S. (VOICE)
CHRISTINE EVERHART;CHRISTINE EVERHART
AGENT PHIL COULSON;AGENT PHIL COULSON
AWARD CEREMONY NARRATOR (VOICE);AWARD CEREMONY NARRATOR (VOICE)
HAPPY HOGAN;HAPPY HOGAN
DIRECTOR NICK FURY;DIRECTOR NICK FURY
STAN LEE;STAN LEE
GUARD;GUARD
JIM CRAMER;JIM CRAMER
ABU BAKAAR;ABU BAKAAR
GENERAL GABRIEL;GENERAL GABRIEL
WILLIAM GINTER RIVA;WILLIAM GINTER RIVA
MAJOR ALLEN;MAJOR ALLEN
JIMMY;JIMMY
PRATT;PRATT
RAMIREZ;RAMIREZ
AHMED;AHMED
OMAR;OMAR
HOWARD STARK;HOWARD STARK
VIPER 1;VIPER 1
VIPER 2;VIPER 2
AMIRA AHMED;AMIRA AHMED
COLONEL CRAIG;COLONEL CRAIG
DEALER AT CRAPS TABLE;DEALER AT CRAPS TABLE
WOMAN AT CRAPS TABLE;WOMAN AT CRAPS TABLE
ENGINEER;ENGINEER
AIR FORCE OFFICER;AIR FORCE OFFICER
WOMAN IN SUV;WOMAN IN SUV
KID IN SUV;KID IN SUV
GULMIRA KID;GULMIRA KID
GULMIRA MOM;GULMIRA MOM
REPORTER;REPORTER
FLIGHT ATTENDANT;FLIGHT ATTENDANT
AIR FORCE LIEUTENANT;AIR FORCE LIEUTENANT
ZORIANNA KIT;ZORIANNA KIT
STAN'S GIRL;STAN'S GIRL
CAOC ANALYST";CAOC ANALYST"
BRUCE BANNER / THE HULK;BRUCE BANNER / THE HULK
BETTY ROSS;BETTY ROSS
EMIL BLONSKY / ABOMINATION;EMIL BLONSKY / ABOMINATION
GENERAL THADDEUS ""THUNDERBOLT"" ROSS / THE RED HULK;GENERAL THADDEUS ""THUNDERBOLT"" ROSS / THE RED HULK
DR. SAMUEL STERNS / THE LEADER;DR. SAMUEL STERNS / THE LEADER
LEONARD SAMSON / DR. SAMSON;LEONARD SAMSON / DR. SAMSON
MAJOR KATHLEEN SPARR;MAJOR KATHLEEN SPARR
GENERAL JOE GRELLER;GENERAL JOE GRELLER
VOICE OF THE INCREDIBLE HULK / SECURITY GUARD;VOICE OF THE INCREDIBLE HULK / SECURITY GUARD
STANLEY;STANLEY
MARTINA;MARTINA
COMMANDO;COMMANDO
TERRIFIED GAL;TERRIFIED GAL
HELICOPTER SOLDIER;HELICOPTER SOLDIER
GRAD STUDENT;GRAD STUDENT
TOUGH GUY LEADER;TOUGH GUY LEADER
TOUGH GUY;TOUGH GUY
COMMUNICATIONS OFFICER;COMMUNICATIONS OFFICER
HELICOPTER PILOT;HELICOPTER PILOT
SOLDIER;SOLDIER
COP;COP
CAB DRIVER;CAB DRIVER
MEDICAL TECHNICIAN;MEDICAL TECHNICIAN
YOUNG GUY;YOUNG GUY
PLANT MANAGER;PLANT MANAGER
