id, character
0,Tony Stark / Iron Man 
"1,Lt. Col. James ""Rhodey"" Rhodes / War Machine "
2,Obadiah Stane / Iron Monger 
"3,Virginia ""Pepper"" Potts "
4,Yinsen 
5,Raza 
6,J.A.R.V.I.S. (voice) 
7,Christine Everhart 
8,Agent Phil Coulson 
9,Award Ceremony Narrator (voice) 
10,Happy Hogan 
11,Director Nick Fury 
12,Stan Lee 
13,Guard 
14,Jim Cramer 
15,Abu Bakaar 
16,General Gabriel 
17,William Ginter Riva 
18,Major Allen 
19,Jimmy 
20,Pratt 
21,Ramirez 
22,Ahmed 
23,Omar 
24,Howard Stark 
25,Viper 1 
26,Viper 2 
27,Amira Ahmed 
28,Colonel Craig 
29,Dealer at Craps Table 
30,Woman at Craps Table 
31,Engineer 
32,Air Force Officer 
33,Woman In SUV 
34,Kid in SUV 
35,Gulmira Kid 
36,Gulmira Mom 
37,Reporter 
38,Flight Attendant 
39,Air Force Lieutenant 
40,Zorianna Kit 
41,Stan's Girl 
42,CAOC Analyst 
43,Bruce Banner / The Hulk 
44,Betty Ross 
45,Emil Blonsky / Abomination 
"46,General Thaddeus ""Thunderbolt"" Ross / The Red Hulk "
47,Dr. Samuel Sterns / The Leader 
48,Leonard Samson / Dr. Samson 
49,Major Kathleen Sparr 
50,General Joe Greller 
51,Voice of The Incredible Hulk / Security Guard 
52,Stanley 
53,Martina 
54,Commando 
55,Terrified Gal 
56,Helicopter Soldier 
57,Grad Student 
58,Tough Guy Leader 
59,Tough Guy 
60,Communications Officer 
61,Helicopter Pilot 
62,Soldier 
63,Cop 
64,Cab Driver 
65,Medical Technician 
66,Young Guy 
67,Plant Manager 
68,Sniper 
69,Boat Captain 
70,Guatemalan Trucker 
71,Computer Nerd 
72,Apache Helicopter Pilot 
73,Colleague 
74,Harlem Bystande 
75,Market Vendor 
76,Supply Driver 
77,Army Base Doctor 
78,Aikido Instructor 
79,Ross's Soldier 
80,McGee 
81,Wilson 
82,Gunner 
83,Little Boy 
84,Brave Cop 
85,BOPE Officer 
86,Medic Soldier 
87,Handsome Soldier 
88,Ross's Aide 
89,Female Medical Assistant 
90,Humvee Driver 
91,Sterns Lab Soldier 
92,Large Woman 
93,Female Bartender 
94,Hopscotch Girl 
95,Natalie Rushman / Natasha Romanoff / Black Widow 
96,Ivan Vanko / Whiplash 
97,Justin Hammer 
98,Senator Stern 
99,U.S. Marshal 
100,Herself 
101,Detective Lemieux 
102,Security Force #1 
103,Security Force #2 
104,Expo Fan 
105,Russian Newscaster 
106,French Photographer 
107,Himself 
108,General Meade 
109,10 Rings Gangster 
110,Anton Vanko 
111,AV Operator 
112,Rebecca 
113,Expo Cop 
114,Rebeka 
115,Bambi Arbogast 
116,Chess Roberts 
117,Strawberry Vendor 
118,Young Tony Stark 
119,Hammer Expo Tech 
120,French Waiter 
121,Jack 
122,Ironette Dancer 
123,Thor 
124,Jane Foster 
125,Loki 
126,Erik Selvig 
127,King Laufey 
128,Volstagg 
129,Heimdall 
130,Darcy Lewis 
131,Frigga 
132,Odin 
133,Agent Coulson 
134,Sif 
135,Hogun 
136,Fandral 
137,Isabela Alvarez 
138,Agent Sitwell 
139,Frost Giant Captain 
140,Frost Giant Sentry 
141,Frost Giant Hailstrum 
142,Frost Giant Brute 
143,Frost Giant Grundroth 
144,Frost Giant Raze 
145,Einherjar Guard 
146,Agent Delancey 
147,Techie 
148,Agent Jackson 
149,Agent Garrett 
150,Agent Cale 
151,SHIELD Guard 
152,Townie 
153,Pete 
154,Stan the Man 
155,Drunk Townie 
156,Pet Store Clerk 
157,Admission Nurse 
158,Orderly 
159,Viking Mother 
160,Viking Child 
161,Viking Elder 
162,Viking 
163,Guest 
164,Young Thor 
165,Young Loki 
166,Frost Giant 
167,Nick Fury 
168,Clint Barton 
169,Steve Rogers / Captain America 
170,Peggy Carter 
171,Johann Schmidt / Red Skull 
172,Col. Chester Phillips 
173,James Buchanan 'Bucky' Barnes 
174,Heinz Kruger 
175,Abraham Erskine 
176,Dr. Arnim Zola 
177,Private Lorraine 
178,SHIELD Agent 
179,Jacques Dernier 
180,Timothy 'Dum Dum' Dugan 
181,Gabe Jones 
182,Jim Morita 
183,James Montgomery Falsworth 
184,General 
185,Senator Brandt 
186,Brandt's Aide 
187,SHIELD Lieutenant 
188,Gilmore Hodge 
189,Search Team Leader 
190,SHIELD Tech 
191,Jan 
192,Tower Keeper 
193,Barman 
194,Nervous Recruit 
195,Connie 
196,Bonnie 
197,4F Doctor 
198,Loud Jerk 
199,Young Doctor 
200,Enlistment Office MP 
201,Stark Girl 
202,Sergeant Duffy 
203,Johann Schmidt's Artist 
204,Antique Store Owner 
205,SSR Doctor 
206,Project Rebirth Nurse 
207,Kruger's Aide 
208,Undercover Bum 
209,Roeder 
210,Hutter 
211,Schneider 
212,The Star Spangled Singer 
213,Autograph Seeker 
214,'Adolph Hitler' 
215,Army Heckler 
216,HYDRA Guard / HYDRA Pilot 
217,Manager Velt 
218,Thor Odinson 
219,Natasha Romanoff / Black Widow 
220,Clint Barton / Hawkeye 
221,Agent Maria Hill 
222,World Security Council 
223,Shield Pilot 
224,Old Man in TV Report 
225,Waitress 
226,Security Guard 
227,Carrier Bridge Techs 
228,Gala Scientist 
229,Celebration Montage Interviewee 
230,Tall Thug 
231,Georgi Luchkov 
232,Agent Jasper Sitwell 
233,The Other 
234,Senator Boynton 
235,Young Cop 
236,Thanos / The Mad Titan (Uncredited) 
237,NASA Scientist 
238,Weaselly Thug 
239,Young Girl 
240,Calcutta Woman 
241,Carrier BridgeTechs 
242,German Old Man 
243,Maintenance Guy 
244,Japanese Family 
245,Police Sergeant 
246,Office Woman 
247,News Reporter 
248,Faceless Pilot 
249,Shawna Lynde 
"250,Colonel James ""Rhodey"" Rhodes / War Machine"
251,Aldrich Killian / The Mandarin 
252,Trevor Slattery 
253,Maya Hansen 
254,Savin 
