Id,Lista_Heroes
PPSM2 3,LEEDS  BETTY BRANT :  CALDRONE  JAVIER :  URICH  BEN :  THOMPSON  EUGENE FLA :  THORSON  DR. WALTER :  ICEMAN/ROBERT BOBBY :  WATSON-PARKER  MARY :  LUMLEY  JUDY :  OVERRIDE/DR. GREGORY :  JAMESON  J. JONAH :  KWAN  TERRY :  SPIDER-MAN/PETER PARKER :  DOLMAN :  MAXWELL  MORRIS
PPSM2 21,PARKER  MAY :  ROBERTSON  RANDY :  HUMAN TORCH/JOHNNY S :  SPIDER-MAN/PETER PARKER
PPSM2 2,PARKER  MAY :  GRANT  GLORIA GLORY :  MCCORMICK  BARRY :  TOKKOTS :  THOR/DR. DONALD BLAK :  JAMESON  J. JONAH :  SPIDER-MAN/PETER PARKER :  FAIRMONT  HANNAH
PPSM2 20,PARKER  MAY :  PARKER  BEN :  SPIDER-MAN/PETER PARKER
PPSM2 1,PARKER  MAY :  SPIDER-MAN III/MARTH :  LEEDS  BETTY BRANT :  RANGER I/ :  WARD  SEN. STEWART :  WATSON-PARKER  MARY :  JAMESON  J. JONAH :  SPIDER-MAN/PETER PARKER :  STACY  JILL :  ROBERTSON  JOE
PPSM2 7,BLADE/ :  KINGPIN/WILSON FISK :  SPIDER-MAN/PETER PARKER :  FORTUNATO  GIACOMO J :  STACY  JILL :  HUNGER
PPSM2 6,PARKER  MAY :  LEEDS  BETTY BRANT :  THOMPSON  EUGENE FLA :  BULLSEYE II/BENJAMIN :  WARD  SEN. STEWART :  WATSON-PARKER  MARY :  KINGPIN/WILSON FISK :  DR. OCTOPUS/OTTO OCT :  SPIDER-MAN/PETER PARKER :  STACY  ARTHUR :  STACY  JILL
PPSM2 5,PARKER  MAY :  SPIDER-WOMAN IV/CHAR :  SPIDER-MAN III/MARTH :  LEEDS  BETTY BRANT :  BLACK CAT/FELICIA HA :  WATSON-PARKER  MARY :  SPIDER-MAN/PETER PARKER :  STACY  JILL
T 269,BLASTAAR :  STILT-MAN/WILBUR DAY :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  THOR/DR. DONALD BLAK :  HOGUN [ASGARDIAN] :  ODIN [ASGARDIAN]
PPSM2 4,PARKER  MAY :  WOLVERINE/LOGAN :  LEEDS  BETTY BRANT :  NIGHTCRAWLER/KURT WA :  COLOSSUS II/PETER RA :  THOMPSON  EUGENE FLA :  WARD  SEN. STEWART :  WATSON-PARKER  MARY :  CALLISTO :  STORM/ORORO MUNROE S :  JAMESON  J. JONAH :  MARROW/SARAH :  SPIDER-MAN/PETER PARKER :  STACY  JILL :  HUNGER :  ROBERTSON  JOE :  ROGUE /
T 268,THOR/DR. DONALD BLAK
T 267,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  HEIMDALL [ASGARDIAN] :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN]
PPSM2 29,PARKER  MAY :  WATSON  ANNA :  WATSON-PARKER  MARY :  SPIDER-MAN/PETER PARKER
T 266,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  DESTROYER III :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN]
PPSM2 28,PARKER  MAY :  GRANT  GLORIA GLORY :  ROBERTSON  RANDY :  PARKER  HORACE :  TINKER  SHEA :  GAUNT/MENDEL STROMM :  SPIDER-MAN/PETER PARKER :  STACY  JILL
T 265,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  DESTROYER III :  KARNILLA [ASGARDIAN]
PPSM2 27,ROBERTSON  RANDY :  TINKER  SHEA :  SMITH  DAPHNE :  GAUNT/MENDEL STROMM :  SPIDER-MAN/PETER PARKER
T 264,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  EXECUTIONER II/SKURG :  DESTROYER III :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN]
PPSM2 26,SPIDER-MAN/PETER PARKER :  SANDMAN/WILLIAM BAKE
T 263,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  EXECUTIONER II/SKURG :  ODIN [ASGARDIAN]
PPSM2 25,PARKER  MAY :  ROBERTSON  RANDY :  OSBORN  NORMIE :  GREEN GOBLIN/NORMAN :  OSBORN  NORMAN :  OSBORN  LIZ ALLAN :  SPIDER-MAN/PETER PARKER
T 262,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN]
PPSM2 24,PARKER  MAY :  TYPEFACE/GORDON THOM :  JAMESON  J. JONAH :  SPIDER-MAN/PETER PARKER :  MCNAIR  TAD :  ROBERTSON  JOE
T 261,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  KARNILLA [ASGARDIAN]
PPSM2 23,GRANT  GLORIA GLORY :  TYPEFACE/GORDON THOM :  ROBERTSON  RANDY :  JAMESON  J. JONAH :  SPIDER-MAN/PETER PARKER :  STACY  JILL :  ROBERTSON  JOE
