movie, characters
"Iron man 1,TONY STARK / IRON MAN : LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE : OBADIAH STANE / IRON MONGER : VIRGINIA ""PEPPER"" POTTS : YINSEN : RAZA : J.A.R.V.I.S. (VOICE) : CHRISTINE EVERHART : AGENT PHIL COULSON : AWARD CEREMONY NARRATOR (VOICE) : HAPPY HOGAN : DIRECTOR NICK FURY : STAN LEE : GUARD : JIM CRAMER : ABU BAKAAR : GENERAL GABRIEL : WILLIAM GINTER RIVA : MAJOR ALLEN : JIMMY : PRATT : RAMIREZ : AHMED : OMAR : HOWARD STARK : VIPER 1 : VIPER 2 : AMIRA AHMED : COLONEL CRAIG : DEALER AT CRAPS TABLE : WOMAN AT CRAPS TABLE : ENGINEER : AIR FORCE OFFICER : WOMAN IN SUV : KID IN SUV : GULMIRA KID : GULMIRA MOM : REPORTER : FLIGHT ATTENDANT : AIR FORCE LIEUTENANT : ZORIANNA KIT : STAN'S GIRL : CAOC ANALYST"
"The incredible Hulk,BRUCE BANNER / THE HULK : BETTY ROSS : EMIL BLONSKY / ABOMINATION : GENERAL THADDEUS ""THUNDERBOLT"" ROSS / THE RED HULK : DR. SAMUEL STERNS / THE LEADER : LEONARD SAMSON / DR. SAMSON : MAJOR KATHLEEN SPARR : GENERAL JOE GRELLER : VOICE OF THE INCREDIBLE HULK / SECURITY GUARD : STANLEY : MARTINA : COMMANDO : TERRIFIED GAL : HELICOPTER SOLDIER : GRAD STUDENT : TOUGH GUY LEADER : TOUGH GUY : COMMUNICATIONS OFFICER : HELICOPTER PILOT : SOLDIER : COP : CAB DRIVER : MEDICAL TECHNICIAN : YOUNG GUY : PLANT MANAGER : SNIPER : BOAT CAPTAIN : GUATEMALAN TRUCKER : COMPUTER NERD : APACHE HELICOPTER PILOT : COLLEAGUE : HARLEM BYSTANDE : MARKET VENDOR : SUPPLY DRIVER : ARMY BASE DOCTOR : AIKIDO INSTRUCTOR : ROSS'S SOLDIER : MCGEE : WILSON : REPORTER : GUNNER : LITTLE BOY : BRAVE COP : BOPE OFFICER : MEDIC SOLDIER : HANDSOME SOLDIER : ROSS'S AIDE : FEMALE MEDICAL ASSISTANT : HUMVEE DRIVER : STERNS LAB SOLDIER : LARGE WOMAN : FEMALE BARTENDER : HOPSCOTCH GIRL"
"Iron man 2,TONY STARK / IRON MAN : VIRGINIA ""PEPPER"" POTTS : LT. COL. JAMES ""RHODEY"" RHODES / WAR MACHINE : NATALIE RUSHMAN / NATASHA ROMANOFF / BLACK WIDOW : IVAN VANKO / WHIPLASH : JUSTIN HAMMER : DIRECTOR NICK FURY : AGENT PHIL COULSON : HOWARD STARK : SENATOR STERN : J.A.R.V.I.S. (VOICE) : U.S. MARSHAL : CHRISTINE EVERHART : HAPPY HOGAN : HERSELF : DETECTIVE LEMIEUX : SECURITY FORCE #1 : SECURITY FORCE #2 : EXPO FAN : RUSSIAN NEWSCASTER : FRENCH PHOTOGRAPHER : HIMSELF : MAJOR ALLEN : GENERAL MEADE : 10 RINGS GANGSTER : ANTON VANKO : AV OPERATOR : REBECCA : EXPO COP : REBEKA : BAMBI ARBOGAST : CHESS ROBERTS : STRAWBERRY VENDOR : YOUNG TONY STARK : GUARD : HAMMER EXPO TECH : FRENCH WAITER : JACK : IRONETTE DANCER"
Thor 1,THOR ODINSON : JANE FOSTER : LOKI : ERIK SELVIG : KING LAUFEY : VOLSTAGG : HEIMDALL : DARCY LEWIS : FRIGGA : ODIN : AGENT COULSON : SIF : HOGUN : FANDRAL : ISABELA ALVAREZ : AGENT SITWELL : FROST GIANT CAPTAIN : FROST GIANT SENTRY : FROST GIANT HAILSTRUM : FROST GIANT BRUTE : FROST GIANT GRUNDROTH : FROST GIANT RAZE : EINHERJAR GUARD : AGENT DELANCEY : TECHIE : AGENT JACKSON : AGENT GARRETT : AGENT CALE : SHIELD GUARD : TOWNIE : PETE : STAN THE MAN : DRUNK TOWNIE : PET STORE CLERK : ADMISSION NURSE : ORDERLY : VIKING MOTHER : VIKING CHILD : VIKING ELDER : VIKING : GUEST : YOUNG THOR : YOUNG LOKI : FROST GIANT : NICK FURY : CLINT BARTON 
Capitán américa: el primer vengador,STEVE ROGERS / CAPTAIN AMERICA : PEGGY CARTER : JOHANN SCHMIDT / RED SKULL : COL. CHESTER PHILLIPS : JAMES BUCHANAN 'BUCKY' BARNES : HOWARD STARK : HEINZ KRUGER : DIRECTOR NICK FURY : ABRAHAM ERSKINE : DR. ARNIM ZOLA : PRIVATE LORRAINE : SHIELD AGENT : JACQUES DERNIER : TIMOTHY 'DUM DUM' DUGAN : GABE JONES : JIM MORITA : JAMES MONTGOMERY FALSWORTH : GENERAL : SENATOR BRANDT : BRANDT'S AIDE : SHIELD LIEUTENANT : GILMORE HODGE : SEARCH TEAM LEADER : SHIELD TECH : JAN : TOWER KEEPER : BARMAN : NERVOUS RECRUIT : CONNIE : BONNIE : 4F DOCTOR : LOUD JERK : YOUNG DOCTOR : ENLISTMENT OFFICE MP : STARK GIRL : SERGEANT DUFFY : JOHANN SCHMIDT'S ARTIST : ANTIQUE STORE OWNER : SSR DOCTOR : PROJECT REBIRTH NURSE : KRUGER'S AIDE : UNDERCOVER BUM : ROEDER : HUTTER : SCHNEIDER : THE STAR SPANGLED SINGER : AUTOGRAPH SEEKER : 'ADOLPH HITLER' : ARMY HECKLER : HYDRA GUARD / HYDRA PILOT : MANAGER VELT
"Los vengadores 1,TONY STARK / IRON MAN : STEVE ROGERS / CAPTAIN AMERICA : BRUCE BANNER / THE HULK : THOR ODINSON : NATASHA ROMANOFF / BLACK WIDOW : CLINT BARTON / HAWKEYE : LOKI : AGENT PHIL COULSON : AGENT MARIA HILL : ERIK SELVIG : DIRECTOR NICK FURY : VIRGINIA ""PEPPER"" POTTS : J.A.R.V.I.S. (VOICE) : WORLD SECURITY COUNCIL : SHIELD PILOT : OLD MAN IN TV REPORT : WAITRESS : SECURITY GUARD : CARRIER BRIDGE TECHS : GALA SCIENTIST : CELEBRATION MONTAGE INTERVIEWEE : TALL THUG : GEORGI LUCHKOV : AGENT JASPER SITWELL : THE OTHER : SENATOR BOYNTON : YOUNG COP : NASA SCIENTIST : WEASELLY THUG : YOUNG GIRL : CALCUTTA WOMAN : CARRIER BRIDGETECHS : GERMAN OLD MAN : MAINTENANCE GUY : JAPANESE FAMILY : POLICE SERGEANT : OFFICE WOMAN : NEWS REPORTER : FACELESS PILOT : SHAWNA LYNDE : HIMSELF "
"Iron man 3,TONY STARK / IRON MAN : VIRGINIA ""PEPPER"" POTTS : COLONEL JAMES ""RHODEY"" RHODES / WAR MACHINE : ALDRICH KILLIAN / THE MANDARIN : TREVOR SLATTERY : MAYA HANSEN : HAPPY HOGAN : SAVIN : BRANDT : JARVIS (VOICE) : PRESIDENT ELLIS : MRS. DAVIS : HARLEY KEENER : VICE PRESIDENT RODRIGUEZ : DOCTOR WU (AS WANG XUEQI) : HO YINSEN : ANNOYING CONFERENCE GUY : HIMSELF : HERSELF : NEPTUNE'S NET GIRL : NEPTUNE'S NET BOY : TAGGERT : HAPPY'S NURSE : HOSPITAL NURSE REPORTER : PUSHY TABLOID REPORTER : HELICOPTER PILOT #1 : HELICOPTER PILOT #2 : REPORTER AT HOUSE WRECKAGE : MANDARIN STUDIO TECHNICIAN : MANDARIN LOOK-OUT : ROSE HILLS SHERRIF : ROSE HILL DEPUTY / EXTREMIS SOLDIER : ROSE HILL CHRISTMAS TREE SHOPPER : JUNIOR TECHNICIAN (AS SARAH BURKHARAT) : SENIOR TECHNICIAN : SATELLITE TECHNICIAN (AS ANDY LAUER) : TECHNICAL DIRECTOR : VICE PRESIDENT'S ANALYST : THOMAS RICHARDS : PRESIDENT'S AIDE : SCARED INSURGENT : LAUGHING INSURGENT : PAGEANT EMCEE : MISS ELK RIDGE : PAGEANT JUDGE : GARY THE CAMERAMAN : CHAD DAVIS : EXTREMIS CANDIDATE : ROOM SERVICE WAITER / EXTREMIS SOLDIER : SWEAT SHOP AGENT : MANDARIN GUARD : MANDARIN GUARD (AS JUAN BOFILL) : MANDARIN GUARD (AS PAUL O'CONNOR) : SLEEPY MANDARIN GIRL : ANNOYED MANDARIN GUARD : MANDARIN PARTY GIRL #1 : MANDARIN PARTY GIRL #2 : TONY'S GUARD : PONYTAIL EXPRESS : RELUCTANT AIM GUARD : AIM PING PONG GIRL : SECRET SERVICE AGENT : VICE PRESIDENT'S DAUGHTER : IRON PATRIOT FAN #1 : IRON PATRIOT FAN #2 : AIR FORCE ONE OFFICER : NAVY OP : COMMANDER : HEATHER : EXTREMIS SOLDIER"
Thor 2,THOR ODINSON : DARRYL
Capitán américa: el soldado de invierno,STEVE ROGERS / CAPTAIN AMERICA : NICK FURY : NATASHA ROMANOFF / BLACK WIDOW : ALEXANDER PIERCE : BUCKY BARNES / WINTER SOLDIER : SAM WILSON / FALCON : MARIA HILL : BROCK RUMLOW : JASPER SITWELL : KATE / AGENT 13 : PEGGY CARTER : DR. ARNIM ZOLA : SMITHSONIAN GUARD : JACK ROLLINS : COUNCILWOMAN HAWLEY : COUNCILMAN SINGH : COUNCILMAN ROCKWELL : COUNCILMAN YEN : SENATOR STERN : GEORGES BATROC : FRENCH PIRATE #1 : FRENCH PIRATE #2 : ENGINE PIRATE : FRENCH RADIO PIRATE : SKINNY STEVE : LAUNCH TECH #1 : LAUNCH TECH #2 : DR. FINE (AS GOZIE AGBO) : SHIELD INTERROGATOR #1 : SHIELD INTERROGATOR #2 : SCIENTIST #1 : SCIENTIST #2 : APPLE EMPLOYEE : COM TECH #1 : COM TECH #2 : RENATA (AS BRANKA KATIC) : GARCIA : CHARLIE XO : CHARLIE WEAPONS TECH : SHIELD TECH : LEAD SHIELD PILOT : SENIOR SHIELD AGENT : SHIELD AGENT : STRIKE SGT. #1 : STRIKE SGT. #2 : STRIKE AGENT : 25TH FLOOR STRIKE AGENT : SCUDDER : HUMAN RESOURCES EXECUTIVE : DOCTOR : LEAD EMT : CIA INSTRUCTOR : CAPITOL HILL POLICE : FBI AGENT : COMMITTEE MEMBER : LITTLE BOY IN THE SMITHSONIAN : FURY CAR VOICE (VOICE) : SHIELD COMPUTER (VOICE) : THE SMITHSONIAN NARRATOR (VOICE)
Guardianes de la galaxia 1,DENNIS COOPER : SQUIRE : PASSELEWE : KING BRUNO THE QUESTIONABLE : MR. FISHFINGER : THE OTHER SQUIRE : 1ST HERALD : THE LANDLORD : THE PRINCESS : BISHOP : GRISELDA FISHFINGER : 1ST FANATIC : WAT DABNEY : SISTER JESSICA : RED HERRING / BLACK KNIGHT : MAN LIVING IN BARREL : THE  PRINCE : FLYING HOGFISH PEASANT : 1ST MERCHANT : 2ND MERCHANT : 3RD MERCHANT : GUARD AT THE GATE : SERGEANT AT THE GATE : FANATICS' LEADER : FANATIC : SPAGHETTI EATING FANATIC : MRS FISHFINGER : MR COOPER SNR : ARMOURER : APPRENTICE ARMOURER : FLAGELLANT : RATMAN : OLD MAN WITH PETITION : 1ST PEASANT : SCRUBBER : KEVIN FISHFINGER : LANDLORD'S WIFE
